L01 EMG I - 肌電圖
檔案名:  G3-EMGR2-L01
星期五, 三月 23, 2018
08:34:35 下午
秒	EMG	EMG 積分
0.158	0.020752	0.014032
0.16	0.0238037	0.0142395
0.162	0.0213623	0.0144775
0.164	0.0189209	0.0146912
0.166	0.0219727	0.0148804
0.168	0.0268555	0.0151001
0.17	0.022583	0.0153687
0.172	0.0244141	0.0155945
0.174	0.0262451	0.0158386
0.176	0.0238037	0.0161011
0.178	0.0244141	0.0163391
0.18	0.0311279	0.0165833
0.182	0.0244141	0.0168945
0.184	0.0262451	0.0171387
0.186	0.0280762	0.0174011
0.188	0.0292969	0.0176819
0.19	0.0274658	0.0179749
0.192	0.0274658	0.0182495
0.194	0.0262451	0.0185242
0.196	0.0305176	0.0187866
0.198	0.0268555	0.0190918
0.2	0.0262451	0.0193481
0.202	0.0262451	0.0193481
0.204	0.0250244	0.019342
0.206	0.0250244	0.0193787
0.208	0.020752	0.0193237
0.21	0.0213623	0.0192871
0.212	0.0140381	0.0191833
0.214	0.0164795	0.0190186
0.216	0.0238037	0.0189819
0.218	0.0183105	0.0188904
0.22	0.0152588	0.0187622
0.222	0.0152588	0.0186462
0.224	0.0195313	0.0186096
0.226	0.0177002	0.0185791
0.228	0.00915527	0.0184753
0.23	0.0134277	0.0183472
0.232	0.00793457	0.0181885
0.234	-0.00305176	0.0181335
0.236	0.00549316	0.0180908
0.238	0.0152588	0.0178772
0.24	0.00732422	0.0177856
0.242	0.00244141	0.0175964
0.244	0.0109863	0.0175171
0.246	0.0189209	0.0174988
0.248	0.0177002	0.0174622
0.25	0.0195313	0.0174744
0.252	0.0183105	0.0174622
0.254	0.0189209	0.0174683
0.256	0.0201416	0.0174683
0.258	0.0256348	0.017511
0.26	0.0317383	0.017627
0.262	0.0280762	0.017688
0.264	0.0280762	0.017749
0.266	0.0244141	0.0177856
0.268	0.0292969	0.0178772
0.27	0.0311279	0.017981
0.272	0.0268555	0.0180542
0.274	0.0250244	0.0181213
0.276	0.020752	0.0181824
0.278	0.020752	0.0182739
0.28	0.020752	0.0183167
0.282	0.0292969	0.0184875
0.284	0.0170898	0.0185425
0.286	0.0115967	0.0185303
0.288	0.0177002	0.0186035
0.29	0.0146484	0.0186584
0.292	0.00976563	0.0186584
0.294	0.012207	0.0186462
0.296	0.00793457	0.0186218
0.298	0.00366211	0.0185852
0.3	0.0128174	0.0186035
0.302	0.00854492	0.018512
0.304	0.00488281	0.0184265
0.306	0.00366211	0.0183472
0.308	0.00549316	0.0182556
0.31	0.0158691	0.0182495
0.312	0.0158691	0.0182129
0.314	0.0109863	0.0181824
0.316	-0.00183105	0.0180481
0.318	0.0134277	0.0180481
0.32	0.0152588	0.0180115
0.322	0.00915527	0.0179138
0.324	0.0109863	0.017865
0.326	0.0012207	0.0177246
0.328	0.000610352	0.0175659
0.33	0.00244141	0.0174255
0.332	0.010376	0.0173584
0.334	0.00610352	0.0171997
0.336	0.00366211	0.0170532
0.338	0.00244141	0.0170349
0.34	0.010376	0.0170898
0.342	0.00915527	0.0169678
0.344	0.00427246	0.0169495
0.346	0.00732422	0.0169739
0.348	0.00976563	0.0169983
0.35	0.00671387	0.016925
0.352	0.00854492	0.0168884
0.354	0.00854492	0.016803
0.356	0.00976563	0.0167297
0.358	0.00854492	0.0166077
0.36	0.00854492	0.0164551
0.362	0.0134277	0.0163757
0.364	0.0146484	0.016333
0.366	0.00732422	0.0161865
0.368	0.0170898	0.0160889
0.37	0.0183105	0.0160461
0.372	0.020752	0.0160095
0.374	0.022583	0.0159729
0.376	0.00732422	0.0158081
0.378	0.0183105	0.0157471
0.38	0.020752	0.0156433
0.382	0.0109863	0.015509
0.384	0.00976563	0.0153442
0.386	0.010376	0.0151672
0.388	0.00732422	0.0149475
0.39	0.00671387	0.01474
0.392	0.00793457	0.0145447
0.394	0.00854492	0.0143677
0.396	0.0128174	0.0141907
0.398	0.00793457	0.0140015
0.4	0.010376	0.0138428
0.402	0.0109863	0.0136902
0.404	0.00976563	0.0135376
0.406	0.0115967	0.0134033
0.408	0.0128174	0.013324
0.41	0.00915527	0.0132019
0.412	0.012207	0.0131836
0.414	0.012207	0.0131409
0.416	0.0115967	0.0130188
0.418	0.00976563	0.0129333
0.42	0.0152588	0.0129333
0.422	0.0146484	0.0129272
0.424	0.0146484	0.0128784
0.426	0.010376	0.0128052
0.428	0.0152588	0.0128662
0.43	0.0177002	0.0129089
0.432	0.0244141	0.0130737
0.434	0.0128174	0.0131714
0.436	0.00488281	0.0131653
0.438	0.022583	0.0132385
0.44	0.0189209	0.0133545
0.442	0.0128174	0.0134583
0.444	0.0134277	0.0134827
0.446	0.0140381	0.0134338
0.448	0.0134277	0.0133911
0.45	0.00915527	0.0132874
0.452	0.0128174	0.0132324
0.454	0.0170898	0.0132141
0.456	0.00915527	0.0131042
0.458	0.00854492	0.0129333
0.46	0.0140381	0.0127563
0.462	0.012207	0.0125977
0.464	0.0109863	0.0124268
0.466	0.010376	0.0122864
0.468	0.0109863	0.0121033
0.47	0.0109863	0.0119019
0.472	0.0140381	0.0117737
0.474	0.0128174	0.0116516
0.476	0.00671387	0.0115112
0.478	0.00854492	0.0113892
0.48	0.0170898	0.0113525
0.482	0.00244141	0.011084
0.484	0.00305176	0.0109436
0.486	0.012207	0.0109497
0.488	0.012207	0.0108948
0.49	0.00427246	0.010791
0.492	0.00793457	0.0107727
0.494	0.0109863	0.0107605
0.496	0.0115967	0.0107971
0.498	0.00976563	0.0108582
0.5	0.012207	0.0108521
0.502	0.00732422	0.0108398
0.504	0.00427246	0.0108337
0.506	0.000610352	0.0108032
0.508	0.010376	0.0108521
0.51	0.00366211	0.01073
0.512	0.00488281	0.0106201
0.514	0.00671387	0.0105774
0.516	0.00610352	0.0106201
0.518	0.0201416	0.0106873
0.52	0.0170898	0.0107056
0.522	0.00793457	0.0106934
0.524	0.0128174	0.0107117
0.526	0.0134277	0.0108337
0.528	0.0177002	0.0110046
0.53	0.0158691	0.0111389
0.532	0.00976563	0.0111328
0.534	0.0134277	0.0112061
0.536	0.0158691	0.0113281
0.538	0.0158691	0.0114624
0.54	0.0140381	0.011499
0.542	0.0146484	0.011554
0.544	0.0146484	0.0116577
0.546	0.0115967	0.0117004
0.548	0.00549316	0.0116577
0.55	0.00671387	0.0116577
0.552	0.00915527	0.0116638
0.554	0.00549316	0.0116333
0.556	0.00793457	0.011615
0.558	0.010376	0.0116333
0.56	0.0109863	0.0116577
0.562	0.0158691	0.0116821
0.564	0.0140381	0.011676
0.566	0.00671387	0.0116699
0.568	0.0152588	0.0116516
0.57	0.0164795	0.0116333
0.572	0.0109863	0.0115356
0.574	0.0189209	0.011499
0.576	0.0128174	0.011554
0.578	0.0146484	0.0115173
0.58	0.0177002	0.0114868
0.582	0.0170898	0.0115479
0.584	0.0177002	0.0116272
0.586	0.0158691	0.0116821
0.588	0.0128174	0.0117371
0.59	0.0164795	0.0118347
0.592	0.012207	0.0118774
0.594	0.0115967	0.011908
0.596	0.010376	0.0118835
0.598	0.0140381	0.0119446
0.6	0.0146484	0.0119873
0.602	0.00793457	0.0119568
0.604	0.00915527	0.0119507
0.606	0.00610352	0.0118958
0.608	0.0128174	0.0118958
0.61	0.00976563	0.0119019
0.612	-0.00427246	0.0118225
0.614	-0.00183105	0.0117188
0.616	0.00732422	0.011676
0.618	-0.00244141	0.0116028
0.62	-0.00549316	0.0115051
0.622	-0.00732422	0.0114319
0.624	0	0.0112854
0.626	-0.00610352	0.0112427
0.628	-0.00183105	0.0111084
0.63	-0.00549316	0.0109863
0.632	-0.00427246	0.0107849
0.634	-0.0012207	0.0106689
0.636	0.000610352	0.0106262
0.638	-0.00366211	0.010437
0.64	-0.0115967	0.0103638
0.642	-0.0109863	0.0103455
0.644	-0.00427246	0.0102539
0.646	-0.0134277	0.0102478
0.648	-0.0164795	0.0102783
0.65	-0.0140381	0.0103271
0.652	-0.0134277	0.0103333
0.654	-0.0128174	0.0102905
0.656	-0.0158691	0.0103577
0.658	-0.0134277	0.0104065
0.66	0	0.0102661
0.662	0.00244141	0.0101685
0.664	-0.00183105	0.0100769
0.666	0.00183105	0.00999146
0.668	0.00610352	0.00994263
0.67	0.00610352	0.0098938
0.672	0.00305176	0.00978394
0.674	0.00183105	0.00967407
0.676	-0.0012207	0.00961914
0.678	-0.00305176	0.00956421
0.68	-0.00366211	0.00942993
0.682	-0.00610352	0.00946655
0.684	-0.00854492	0.00952148
0.686	-0.00732422	0.00947266
0.688	-0.00610352	0.00941162
0.69	-0.00976563	0.00946655
0.692	-0.00671387	0.00945435
0.694	0.0012207	0.00935669
0.696	-0.00305176	0.00927124
0.698	-0.0115967	0.00928955
0.7	0.000610352	0.00917358
0.702	-0.00244141	0.00912476
0.704	-0.000610352	0.00908813
0.706	-0.00671387	0.00914917
0.708	-0.00305176	0.00907593
0.71	-0.0109863	0.00914917
0.712	-0.00915527	0.00919189
0.714	-0.0109863	0.00923462
0.716	-0.0109863	0.00928345
0.718	-0.00305176	0.00911255
0.72	-0.0012207	0.00895386
0.722	-0.00732422	0.00894775
0.724	0	0.00881958
0.726	0.00244141	0.00870972
0.728	0.00244141	0.00855713
0.73	0.00488281	0.00844727
0.732	-0.00366211	0.00838623
0.734	0.00244141	0.00827637
0.736	-0.00488281	0.0081665
0.738	0.000610352	0.00801392
0.74	-0.00915527	0.00796509
0.742	-0.00183105	0.00783691
0.744	0.00183105	0.00770874
0.746	-0.00488281	0.0076416
0.748	-0.00549316	0.0076416
0.75	-0.00488281	0.00762329
0.752	0.00732422	0.00760498
0.754	0.00732422	0.00762329
0.756	0.00183105	0.00756226
0.758	0.00183105	0.00747681
0.76	0.00671387	0.00743408
0.762	0.0134277	0.00740967
0.764	0.0109863	0.00737915
0.766	-0.00488281	0.00736084
0.768	0.0012207	0.00722046
0.77	0.00732422	0.00712891
0.772	0.000610352	0.00702515
0.774	-0.00488281	0.00688477
0.776	-0.00549316	0.00681152
0.778	-0.00183105	0.00668335
0.78	-0.00244141	0.00653076
0.782	-0.00427246	0.00640259
0.784	0.000610352	0.00623169
0.786	0.00549316	0.00612793
0.788	0.00244141	0.00602417
0.79	-0.00244141	0.00588379
0.792	-0.00244141	0.00578613
0.794	0.00427246	0.00571289
0.796	0.00610352	0.00567017
0.798	-0.000610352	0.00553589
0.8	0.00305176	0.00541992
0.802	0.00488281	0.0053894
0.804	0.00305176	0.00532837
0.806	-0.00305176	0.00529785
0.808	0.00427246	0.0052124
0.81	0.00244141	0.00513916
0.812	-0.000610352	0.00510254
0.814	0.00305176	0.00511475
0.816	-0.00610352	0.00510254
0.818	-0.00976563	0.00517578
0.82	0.00915527	0.0052124
0.822	0.00610352	0.0052002
0.824	0.000610352	0.0052063
0.826	0.000610352	0.00515137
0.828	0.00366211	0.00516968
0.83	0.0146484	0.00526123
0.832	0.00305176	0.00524902
0.834	0.00183105	0.00525513
0.836	0.00366211	0.00528564
0.838	0.00671387	0.00531616
0.84	0.00976563	0.00529785
0.842	-0.000610352	0.00519409
0.844	0	0.00515137
0.846	0.00610352	0.00507813
0.848	0.00549316	0.00496826
0.85	0.00793457	0.00490723
0.852	0.00488281	0.00482178
0.854	0.012207	0.00481567
0.856	0.0012207	0.00466919
0.858	-0.00671387	0.00460205
0.86	0.00549316	0.00465698
0.862	-0.000610352	0.00463867
0.864	-0.0109863	0.00473022
0.866	-0.00427246	0.00475464
0.868	-0.00732422	0.00476685
0.87	-0.00976563	0.00480347
0.872	-0.012207	0.00489502
0.874	-0.00854492	0.00496216
0.876	-0.00610352	0.00501099
0.878	-0.00183105	0.00499878
0.88	-0.00976563	0.00505981
0.882	-0.00854492	0.00508423
0.884	-0.0128174	0.00512695
0.886	-0.00610352	0.00511475
0.888	-0.00610352	0.00511475
0.89	-0.00671387	0.00508423
0.892	-0.00244141	0.0050415
0.894	0.0012207	0.0050415
0.896	0.00488281	0.00505981
0.898	0.00671387	0.00501099
0.9	0.010376	0.00510864
0.902	0.00366211	0.00512085
0.904	0.00610352	0.00517578
0.906	0.0183105	0.00529175
0.908	0.0012207	0.00527344
0.91	0.0012207	0.00517578
0.912	0.00427246	0.00512695
0.914	0.00427246	0.00505981
0.916	0.00488281	0.00499878
0.918	0.00427246	0.00501099
0.92	0	0.00499878
0.922	0.00610352	0.00498657
0.924	0.00610352	0.00504761
0.926	0	0.00502319
0.928	0	0.00499878
0.93	0.0012207	0.00496216
0.932	0.0109863	0.0050354
0.934	0.00793457	0.00509033
0.936	-0.00610352	0.00510254
0.938	0.00244141	0.00512085
0.94	0.00854492	0.00511475
0.942	0.0128174	0.00522461
0.944	0.010376	0.00531006
0.946	-0.00305176	0.00529175
0.948	0.0128174	0.00536499
0.95	0.010376	0.00541992
0.952	0.00671387	0.00541382
0.954	0.0158691	0.00549927
0.956	0.00976563	0.00557861
0.958	0.012207	0.00568237
0.96	0.0115967	0.0057312
0.962	0.00854492	0.00568237
0.964	0.0152588	0.0057251
0.966	0.0109863	0.00578613
0.968	0.00976563	0.00587158
0.97	0.010376	0.0059021
0.972	0.0115967	0.00601196
0.974	0.00976563	0.00606079
0.976	0.0109863	0.00611572
0.978	0.0146484	0.0062439
0.98	0.0140381	0.00635986
0.982	0.0128174	0.00644531
0.984	0.0177002	0.00661621
0.986	0.010376	0.00666504
0.988	0.0128174	0.0067688
0.99	0.0109863	0.00685425
0.992	0.00915527	0.00692139
0.994	0.00488281	0.00692749
0.996	0.010376	0.00697021
0.998	0.00366211	0.00700073
1	-0.00366211	0.00700684
1.002	0.00183105	0.00697632
1.004	0.00732422	0.00701904
1.006	0.00427246	0.00703125
1.008	0.00366211	0.00702515
1.01	0.00244141	0.00702515
1.012	0.00610352	0.00708008
1.014	0.012207	0.00717163
1.016	0.0012207	0.0071228
1.018	0.00183105	0.00704346
1.02	0.0109863	0.00706177
1.022	0.00549316	0.00705566
1.024	0.00488281	0.00709839
1.026	0.00732422	0.00716553
1.028	0.00854492	0.00721436
1.03	0.00732422	0.00714111
1.032	0.0109863	0.00722046
1.034	0.0109863	0.00731201
1.036	0.012207	0.00739746
1.038	0.012207	0.00745239
1.04	0.00854492	0.00744019
1.042	0.00915527	0.00752563
1.044	0.0115967	0.0076416
1.046	0.0115967	0.00769653
1.048	0.00610352	0.00770264
1.05	0.0140381	0.00776367
1.052	0.00305176	0.00774536
1.054	0.00427246	0.00766602
1.056	0.0201416	0.00785522
1.058	0.0109863	0.00789795
1.06	0.00427246	0.00788574
1.062	0.0140381	0.00802002
1.064	0.0109863	0.00802002
1.066	0.0109863	0.00808716
1.068	0.00854492	0.00809937
1.07	0.00671387	0.00806885
1.072	0.00549316	0.00800171
1.074	0.00671387	0.0079834
1.076	0.00244141	0.00794678
1.078	0.00305176	0.00795898
1.08	0.00427246	0.00790405
1.082	0.00244141	0.00784302
1.084	0.00427246	0.00775757
1.086	0.000610352	0.00770264
1.088	0.00610352	0.00770264
1.09	0.0012207	0.00764771
1.092	0.00183105	0.0076416
1.094	0.0134277	0.00776367
1.096	0	0.00771484
1.098	-0.00976563	0.00774536
1.1	0.0012207	0.00765381
1.102	0.00671387	0.00768433
1.104	-0.00366211	0.00765991
1.106	0	0.00747681
1.108	-0.000610352	0.0074707
1.11	0.000610352	0.0074646
1.112	-0.000610352	0.00742798
1.114	0.00610352	0.00744629
1.116	0.00915527	0.00748901
1.118	0.00915527	0.00753784
1.12	0.00854492	0.00762329
1.122	0.00915527	0.00765381
1.124	0.010376	0.00769653
1.126	0.00854492	0.00778198
1.128	0.00732422	0.00785522
1.13	0.00549316	0.00789795
1.132	0.00427246	0.00783081
1.134	-0.000610352	0.00775757
1.136	-0.00305176	0.00772705
1.138	-0.00183105	0.00772095
1.14	-0.00366211	0.00767212
1.142	0.000610352	0.00755005
1.144	0.00976563	0.00754395
1.146	0	0.00751343
1.148	-0.00915527	0.00747681
1.15	0.010376	0.00747681
1.152	0.0164795	0.00757446
1.154	0.00793457	0.00749512
1.156	0.00671387	0.0074646
1.158	0.00915527	0.00743408
1.16	0.00366211	0.00735474
1.162	0.00915527	0.00736084
1.164	0.0140381	0.00734863
1.166	0.00976563	0.00733643
1.168	0.0109863	0.00734863
1.17	0.00488281	0.0072937
1.172	0.010376	0.00728149
1.174	0.0115967	0.0072998
1.176	0.00976563	0.0072876
1.178	0.0177002	0.00731812
1.18	0.0146484	0.00732422
1.182	0.0128174	0.00732422
1.184	0.0146484	0.0072937
1.186	0.0164795	0.00735474
1.188	0.0164795	0.00739136
1.19	0.0183105	0.0074646
1.192	0.0244141	0.00761719
1.194	0.0286865	0.00785522
1.196	0.00366211	0.00778809
1.198	0.0140381	0.00789185
1.2	0.0213623	0.00806885
1.202	0.0109863	0.0081604
1.204	0.00671387	0.0081543
1.206	0.00549316	0.0081665
1.208	0.00488281	0.00817871
1.21	0.00732422	0.00822754
1.212	0.0012207	0.00817871
1.214	0.0109863	0.0081665
1.216	0.0164795	0.00831909
1.218	0.0109863	0.00841064
1.22	0.0219727	0.00852051
1.222	0.0170898	0.00863647
1.224	0.00793457	0.00866699
1.226	0.020752	0.00880127
1.228	0.0183105	0.00889893
1.23	0.010376	0.00892944
1.232	0.00610352	0.00888062
1.234	0.00427246	0.00881348
1.236	0.00427246	0.00873413
1.238	0.00244141	0.00863647
1.24	0	0.00855103
1.242	0.000610352	0.00846558
1.244	0.000610352	0.00835571
1.246	0.00183105	0.00825806
1.248	0.00610352	0.00825806
1.25	0.00610352	0.00817871
1.252	-0.00183105	0.0081665
1.254	0.00183105	0.00814209
1.256	0.010376	0.00804443
1.258	0.00183105	0.00795288
1.26	0.00671387	0.00797729
1.262	0.00366211	0.00787354
1.264	0.00488281	0.0078125
1.266	0.012207	0.00782471
1.268	0.00488281	0.00778809
1.27	0.0128174	0.00784912
1.272	0.010376	0.00789795
1.274	0.0146484	0.00797729
1.276	0.00854492	0.00803833
1.278	0.0109863	0.00811768
1.28	0.0109863	0.00818481
1.282	0.0115967	0.00827637
1.284	0.0109863	0.00834351
1.286	0.00671387	0.00840454
1.288	0.00488281	0.00839233
1.29	0.0109863	0.00848999
1.292	0.00366211	0.0085083
1.294	0.0012207	0.00838623
1.296	0.00976563	0.00848389
1.298	0.00244141	0.00841064
1.3	-0.00732422	0.00847168
1.302	0.00549316	0.00845947
1.304	0.00854492	0.0085083
1.306	0.00305176	0.00853882
1.308	-0.0012207	0.00854492
1.31	0.00610352	0.00859985
1.312	0.00305176	0.00862427
1.314	0	0.00856323
1.316	0.00488281	0.00852051
1.318	0.00610352	0.00848999
1.32	0.000610352	0.00841064
1.322	0.000610352	0.0083252
1.324	0.000610352	0.00822754
1.326	-0.0012207	0.0081543
1.328	0.00305176	0.00811157
1.33	0.00183105	0.00807495
1.332	-0.00244141	0.00805664
1.334	-0.00244141	0.00807495
1.336	-0.00366211	0.00808105
1.338	-0.00549316	0.00811768
1.34	-0.010376	0.00818481
1.342	0.00244141	0.00820313
1.344	-0.012207	0.00822754
1.346	-0.00610352	0.00828857
1.348	-0.00427246	0.00823975
1.35	-0.00366211	0.00817261
1.352	-0.00366211	0.00804443
1.354	-0.00610352	0.00802612
1.356	-0.0012207	0.00797119
1.358	-0.00610352	0.00794067
1.36	-0.00427246	0.00794678
1.362	-0.00244141	0.00787964
1.364	-0.00305176	0.00776978
1.366	-0.00305176	0.00770264
1.368	0.00488281	0.0076416
1.37	-0.00549316	0.00764771
1.372	-0.00305176	0.00757446
1.374	0.00244141	0.00748291
1.376	-0.00427246	0.00742798
1.378	-0.00610352	0.00731201
1.38	-0.00366211	0.00720215
1.382	-0.00671387	0.00714111
1.384	-0.00488281	0.00704346
1.386	-0.00366211	0.00691528
1.388	-0.00488281	0.00679932
1.39	-0.00183105	0.00663452
1.392	0.00366211	0.006427
1.394	0.00549316	0.00619507
1.396	-0.00305176	0.00618896
1.398	-0.00976563	0.00614624
1.4	0.00549316	0.00598755
1.402	-0.00183105	0.005896
1.404	-0.00854492	0.00591431
1.406	-0.00976563	0.00595703
1.408	-0.00610352	0.00596924
1.41	-0.00732422	0.00596924
1.412	-0.00854492	0.00604248
1.414	-0.00610352	0.00599365
1.416	-0.00854492	0.00591431
1.418	-0.00366211	0.00584106
1.42	-0.00610352	0.00568237
1.422	-0.0152588	0.00566406
1.424	-0.00549316	0.00563965
1.426	-0.00976563	0.00552979
1.428	-0.010376	0.00545044
1.43	-0.012207	0.00546875
1.432	-0.0177002	0.00558472
1.434	-0.012207	0.00566406
1.436	-0.010376	0.0057251
1.438	-0.0128174	0.00582886
1.44	-0.00793457	0.0059082
1.442	-0.00915527	0.00599365
1.444	-0.00732422	0.00606079
1.446	-0.00915527	0.00613403
1.448	-0.00976563	0.00617065
1.45	-0.00488281	0.00615845
1.452	-0.00976563	0.00623779
1.454	-0.0128174	0.00634766
1.456	-0.00793457	0.00632324
1.458	-0.00549316	0.00635986
1.46	-0.00793457	0.00637207
1.462	0.000610352	0.00634155
1.464	0	0.00629272
1.466	-0.0109863	0.00628052
1.468	-0.00976563	0.00632935
1.47	0.00732422	0.00627441
1.472	0.00183105	0.00618896
1.474	-0.00976563	0.00614014
1.476	-0.00610352	0.00611572
1.478	-0.00305176	0.00603638
1.48	-0.00610352	0.00598755
1.482	-0.00244141	0.005896
1.484	0.00183105	0.00580444
1.486	-0.00244141	0.00576172
1.488	-0.00366211	0.00574951
1.49	-0.012207	0.00576172
1.492	-0.0109863	0.00583496
1.494	-0.0158691	0.00598145
1.496	-0.010376	0.00598755
1.498	-0.0158691	0.00612183
1.5	-0.0170898	0.00621948
1.502	-0.0164795	0.00632935
1.504	-0.0134277	0.00637817
1.506	-0.00793457	0.006427
1.508	0	0.00641479
1.51	-0.00549316	0.00640869
1.512	-0.010376	0.00648193
1.514	0.000610352	0.00648804
1.516	-0.00183105	0.00645752
1.518	-0.00549316	0.00645142
1.52	-0.00488281	0.00649414
1.522	-0.0152588	0.00664063
1.524	-0.00976563	0.00673218
1.526	-0.00244141	0.00674438
1.528	-0.00305176	0.00674438
1.53	-0.00366211	0.0067627
1.532	0.0152588	0.00689087
1.534	-0.010376	0.00697021
1.536	-0.00183105	0.0069519
1.538	-0.000610352	0.00690308
1.54	0	0.00679932
1.542	-0.00427246	0.00681763
1.544	-0.00854492	0.00678101
1.546	-0.012207	0.00684204
1.548	-0.00671387	0.00686646
1.55	-0.00610352	0.00689087
1.552	0.00549316	0.00690918
1.554	0.00854492	0.00693359
1.556	0.0115967	0.00703735
1.558	0.00549316	0.00703125
1.56	0.00244141	0.00701294
1.562	0.0213623	0.00720215
1.564	0.0170898	0.00734253
1.566	0.0128174	0.00744019
1.568	-0.00305176	0.00742187
1.57	-0.00732422	0.00744019
1.572	0.0146484	0.00755615
1.574	0.0128174	0.00765991
1.576	-0.00732422	0.00769043
1.578	-0.00976563	0.00772705
1.58	0.00488281	0.00773926
1.582	-0.0140381	0.0078125
1.584	-0.0158691	0.00792236
1.586	-0.00549316	0.00794067
1.588	0.00366211	0.00792847
1.59	-0.00427246	0.00795288
1.592	-0.0152588	0.00806885
1.594	-0.00183105	0.00803223
1.596	0.00183105	0.00802002
1.598	0.0012207	0.00793457
1.6	0.00732422	0.00795288
1.602	0.00732422	0.00800781
1.604	-0.0128174	0.00805054
1.606	0.00488281	0.00800171
1.608	0.00366211	0.00797729
1.61	-0.00183105	0.00792236
1.612	-0.00244141	0.00786133
1.614	-0.0012207	0.0078125
1.616	0.00244141	0.00775146
1.618	0	0.00771484
1.62	-0.0164795	0.0078186
1.622	-0.00305176	0.00769653
1.624	0.0012207	0.00765381
1.626	0.00671387	0.00762329
1.628	-0.00793457	0.00759888
1.63	-0.0146484	0.00762329
1.632	0.00183105	0.0074646
1.634	-0.00305176	0.00737305
1.636	0.0012207	0.00728149
1.638	0.00305176	0.00718384
1.64	-0.00183105	0.0071228
1.642	-0.00305176	0.00706177
1.644	0	0.00698853
1.646	0.00549316	0.0069519
1.648	0.00366211	0.00689087
1.65	0.00244141	0.00686646
1.652	0.00183105	0.00678711
1.654	0.00366211	0.00669556
1.656	0.00305176	0.00664673
1.658	0	0.0065918
1.66	0.00244141	0.00653687
1.662	0.00183105	0.00654907
1.664	-0.00183105	0.00656738
1.666	-0.00305176	0.00648804
1.668	-0.00488281	0.00643921
1.67	0.000610352	0.00637207
1.672	0.0012207	0.00636597
1.674	0.000610352	0.00627441
1.676	0.0012207	0.00622559
1.678	0.00549316	0.00625
1.68	0.00671387	0.0062561
1.682	0.00366211	0.00626831
1.684	0.00671387	0.00631714
1.686	0.00488281	0.00634155
1.688	0.000610352	0.00631104
1.69	0.00183105	0.00620728
1.692	0.000610352	0.00610352
1.694	-0.00244141	0.00596924
1.696	-0.00183105	0.00588379
1.698	-0.00915527	0.00581665
1.7	0.00427246	0.00568848
1.702	0.0012207	0.00553589
1.704	0.00610352	0.00546265
1.706	-0.00305176	0.00541382
1.708	-0.010376	0.00551758
1.71	0	0.00546265
1.712	0	0.00535889
1.714	-0.0012207	0.00536499
1.716	-0.00976563	0.00544434
1.718	-0.00671387	0.00545654
1.72	-0.00183105	0.00542603
1.722	-0.00549316	0.00532837
1.724	-0.00610352	0.00529175
1.726	-0.00427246	0.00531006
1.728	0.00488281	0.00532837
1.73	-0.00244141	0.00531616
1.732	-0.00549316	0.00521851
1.734	0	0.00511475
1.736	0.000610352	0.00510254
1.738	-0.00793457	0.00517578
1.74	0.000610352	0.00518188
1.742	0.00549316	0.00519409
1.744	0.00793457	0.00518799
1.746	-0.00427246	0.00510864
